Cache_Type,Number,Steps,Cache_Hit
0,27499,90,0
0,11335,86,0
0,14121,151,0
0,30293,41,0
0,199,119,0
0,4926,209,0
0,26981,77,0
0,5500,41,0
0,16388,115,0
0,17589,35,0
0,14259,120,0
0,29113,72,0
0,2069,125,0
0,16231,190,0
0,4914,134,0
0,12226,156,0
0,17070,128,0
0,32452,116,0
0,8157,65,0
0,24753,64,0
0,1356,52,0
0,10218,60,0
0,32179,46,0
0,13983,94,0
0,17269,53,0
0,721,46,0
0,11541,50,0
0,26485,46,0
0,30273,46,0
0,5061,41,0
0,4719,103,0
0,12799,169,0
0,23833,100,0
0,26906,46,0
0,23834,51,0
0,14658,102,0
0,15295,84,0
0,28955,165,0
0,21889,118,0
0,10768,68,0
0,14734,120,0
0,27715,152,0
0,22147,131,0
0,24281,157,0
0,17924,48,0
0,20400,87,0
0,30233,90,0
0,30148,134,0
0,9853,210,0
0,11220,86,0
0,8505,83,0
0,3326,74,0
0,4417,95,0
0,27502,90,0
0,12026,143,0
0,6482,168,0
0,31169,85,0
0,32440,160,0
0,12024,143,0
0,2811,58,0
0,29214,165,1
0,18146,66,0
0,30458,134,0
0,13494,182,0
0,17899,123,0
0,21952,131,0
0,13266,76,0
0,10523,179,0
0,12852,24,0
0,21952,131,1
0,389,120,0
0,556,43,0
0,24255,82,0
0,11806,99,0
0,20140,136,1
0,18223,66,0
0,31889,59,1
0,14171,151,1
0,3866,25,0
0,25785,77,0
0,11700,143,0
0,5099,116,0
0,447,97,0
0,27404,59,0
0,6712,88,0
0,302,16,0
0,3532,30,0
0,1698,60,0
0,22136,100,0
0,13473,138,0
0,31512,28,1
0,26378,126,0
0,32415,266,0
0,6486,49,0
0,2499,177,0
0,2035,156,1
0,11114,130,0
0,417,133,0
0,11545,55,0
0,4231,38,0
0,9263,140,0
0,8469,34,1
0,28089,46,0
0,15610,177,0
0,29214,165,1
0,25262,64,0
0,14070,107,0
0,1634,42,0
0,14535,164,0
0,28496,77,0
0,4989,134,0
0,31945,191,0
0,30684,134,0
0,30832,54,1
0,7480,132,0
0,1920,24,0
0,6712,88,1
0,6929,150,0
0,9331,135,0
0,32695,160,0
0,30241,90,0
0,28403,103,0
0,21054,87,0
0,22859,175,0
0,8906,140,0
0,5639,85,0
0,18962,154,0
0,19935,74,0
0,18204,185,0
0,24613,95,0
0,3767,87,0
0,15918,97,0
0,17846,71,0
0,22273,131,0
0,11876,143,0
0,15775,84,0
0,27187,183,0
0,18012,40,0
0,31273,134,0
0,31771,129,0
0,31659,103,0
0,5239,103,0
0,19594,136,0
0,539,48,0
0,22652,87,0
0,32461,116,0
0,9069,91,0
0,29445,134,0
0,32586,98,0
0,3841,38,0
0,4406,51,0
0,18872,61,0
0,10564,104,0
0,23574,82,0
0,18736,61,0
0,17253,53,0
0,22953,175,0
0,27614,64,0
0,19247,74,0
0,27810,90,0
0,1675,135,0
0,18613,154,0
0,29299,103,0
0,1209,57,0
0,16084,71,0
0,8047,44,0
0,27600,46,0
0,11078,68,0
0,29062,165,0
0,31118,85,0
0,22284,69,0
0,3073,110,0
0,14919,115,0
0,26552,46,0
0,6025,93,0
0,31960,85,0
0,22300,69,0
0,12393,63,0
0,6179,36,0
0,16961,110,0
0,11125,130,0
0,22246,131,0
0,1628,42,0
0,28110,90,0
0,29802,41,0
0,3698,69,0
0,18615,92,0
0,2817,84,0
0,4676,59,0
0,28099,82,0
0,13409,120,0
0,3683,131,0
0,2879,128,0
0,30391,134,0
0,17942,141,0
0,15056,133,0
0,11150,68,0
0,17988,48,0
0,25155,38,1
0,28949,59,0
0,26272,33,0
0,173,31,0
0,24680,38,0
0,7613,132,0
0,23970,82,0
0,19964,74,1
0,26049,77,0
0,14631,58,0
0,12101,68,0
0,31404,85,0
0,21285,56,0
0,3548,56,0
0,29889,72,0
0,4262,77,0
0,18990,154,0
0,14624,133,0
0,4122,126,0
0,31855,77,0
0,3482,30,0
0,6599,98,0
0,12193,68,0
0,4767,103,0
0,16625,66,0
0,8522,78,0
0,10943,86,0
0,2453,40,0
0,19304,74,0
0,15130,40,0
0,7150,49,0
0,15209,58,0
0,25094,64,0
0,15924,27,0
0,23560,82,1
0,17442,48,0
0,32005,54,0
0,7414,132,0
0,17092,66,0
0,20521,180,0
0,15483,146,0
0,18225,61,0
0,20605,92,0
0,12030,156,0
0,58,19,0
0,29311,165,0
0,9526,197,0
0,32298,116,0
0,14068,151,0
0,15575,71,0
0,26844,95,0
0,117,20,0
0,10403,148,0
0,23902,95,0
0,2250,45,0
0,30040,64,0
0,16423,159,0
0,22400,87,0
0,28307,152,0
0,1205,18,0
0,6193,186,0
0,25664,25,0
0,5115,59,0
0,4806,59,0
0,20321,180,0
0,1484,47,0
0,6214,124,0
0,4180,33,0
0,26539,170,0
0,31061,103,0
0,15030,208,0
0,6953,88,0
0,13567,182,0
0,31517,147,0
0,24143,43,0
0,711,64,0
0,7977,52,0
0,4306,77,0
0,31453,85,0
0,1370,127,0
0,15094,115,0
0,19994,180,0
0,7992,52,0
0,22764,175,0
0,32408,160,0
0,18287,185,0
0,26823,152,0
0,21720,100,0
0,5451,54,0
0,10029,42,0
0,5187,41,0
0,20353,136,0
0,5689,129,0
0,6377,80,0
0,3005,141,0
0,1091,44,0
0,8859,78,0
0,32517,41,0
0,5603,36,0
0,5546,36,0
0,12066,42,0
0,9857,60,0
0,2687,97,0
0,32738,67,0
0,31893,54,0
0,27924,152,0
0,12352,125,0
0,3951,74,0
0,955,28,0
0,3452,43,0
0,10173,179,0
0,12318,156,0
0,22651,206,0
0,1554,34,0
0,1975,37,0
0,10300,148,0
0,18498,185,0
0,19873,48,0
0,3742,131,0
0,5125,54,0
0,14245,50,0
0,19064,53,0
0,3415,149,0
0,13663,45,0
0,840,41,0
0,16318,66,0
0,28477,51,0
0,27593,139,1
0,26622,170,0
0,9478,122,0
0,870,28,0
0,26766,95,0
0,13873,182,0
0,7203,119,0
0,27431,183,0
0,29502,121,0
0,21637,118,0
